name,dex_num,description,blocked_by_neut_gas,ignored
No Ability,0,Does nothing.,0,0
Adaptability,91,This Pokemon's same-type attack bonus (STAB) is 2 instead of 1.5.,0,0
Aerilate,184,This Pokemon's Normal-type moves become Flying type and have 1.2x power.,0,0
Aftermath,106,"If this Pokemon is KOed with a contact move, that move's user loses 1/4 its max HP.",0,0
Air Lock,76,"While this Pokemon is active, the effects of weather conditions are disabled.",0,0
Analytic,148,This Pokemon's attacks have 1.3x power if it is the last to move in a turn.,0,0
Anger Point,83,"If this Pokemon (not its substitute) takes a critical hit, its Attack is raised 12 stages.",0,0
Anger Shell,271,"At 1/2 or less of this Pokemon's max HP: +1 Atk, Sp. Atk, Spe, and -1 Def, Sp. Def.",0,0
Anticipation,107,"On switch-in, this Pokemon shudders if any foe has a supereffective or OHKO move.",0,0
Arena Trap,71,Prevents opposing Pokemon from choosing to switch out unless they are airborne.,0,0
Armor Tail,296,This Pokemon and its allies are protected from opposing priority moves.,0,0
Aroma Veil,165,"Protects user/allies from Attract, Disable, Encore, Heal Block, Taunt, and Torment.",0,0
As One (Glastrier),266,Combination of the Unnerve and Chilling Neigh Abilities.,1,0
As One (Spectrier),267,Combination of the Unnerve and Grim Neigh Abilities.,1,0
Aura Break,188,"While this Pokemon is active, the Dark Aura and Fairy Aura power modifier is 0.75x.",0,0
Bad Dreams,123,Causes sleeping foes to lose 1/8 of their max HP at the end of each turn.,0,0
Ball Fetch,237,No competitive use.,0,0
Battery,217,This Pokemon's allies have the power of their special attacks multiplied by 1.3.,0,0
Battle Armor,4,This Pokemon cannot be struck by a critical hit.,0,0
Battle Bond,210,"After KOing a Pokemon: raises Attack, Sp. Atk, Speed by 1 stage. Once per battle.",1,0
Beads of Ruin,284,Active Pokemon without this Ability have their Special Defense multiplied by 0.75.,0,0
Beast Boost,224,This Pokemon's highest stat is raised by 1 if it attacks and KOes another Pokemon.,0,0
Berserk,201,This Pokemon's Sp. Atk is raised by 1 when it reaches 1/2 or less of its max HP.,0,0
Big Pecks,145,Prevents other Pokemon from lowering this Pokemon's Defense stat stage.,0,0
Blaze,66,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Fire attacks.",0,0
Bulletproof,171,This Pokemon is immune to bullet moves.,0,0
Cheek Pouch,167,"If this Pokemon eats a Berry, it restores 1/3 of its max HP after the Berry's effect.",0,0
Chilling Neigh,264,This Pokemon's Attack is raised by 1 stage if it attacks and KOes another Pokemon.,0,0
Chlorophyll,34,"If Sunny Day is active, this Pokemon's Speed is doubled.",0,0
Clear Body,29,Prevents other Pokemon from lowering this Pokemon's stat stages.,0,0
Cloud Nine,13,"While this Pokemon is active, the effects of weather conditions are disabled.",0,0
Color Change,16,"This Pokemon's type changes to the type of a move it's hit by, unless it has the type.",0,0
Comatose,213,"This Pokemon cannot be statused, and is considered to be asleep.",1,0
Commander,279,"If ally is Dondozo: this Pokemon cannot act or be hit, +2 to all Dondozo's stats.",0,0
Competitive,172,This Pokemon's Sp. Atk is raised by 2 for each of its stats that is lowered by a foe.,0,0
Compound Eyes,14,This Pokemon's moves have their accuracy multiplied by 1.3.,0,0
Contrary,126,"If this Pokemon has a stat stage raised it is lowered instead, and vice versa.",0,0
Corrosion,212,This Pokemon can poison or badly poison a Pokemon regardless of its typing.,0,0
Costar,294,"On switch-in, this Pokemon copies all of its ally's stat stage changes.",0,0
Cotton Down,238,"If this Pokemon is hit, it lowers the Speed of all other Pokemon on the field 1 stage.",0,0
Cud Chew,291,"If this Pokemon eats a Berry, it will eat that Berry again at the end of the next turn.",0,0
Curious Medicine,261,"On switch-in, this Pokemon's allies have their stat stages reset to 0.",0,0
Cursed Body,130,"If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled.",0,0
Cute Charm,56,30% chance of infatuating Pokemon of the opposite gender if they make contact.,0,0
Damp,6,Prevents Explosion/Mind Blown/Misty Explosion/Self-Destruct/Aftermath while active.,0,0
Dancer,216,"After another Pokemon uses a dance move, this Pokemon uses the same move.",0,0
Dark Aura,186,"While this Pokemon is active, a Dark move used by any Pokemon has 1.33x power.",0,0
Dauntless Shield,235,"On switch-in, this Pokemon's Defense is raised by 1 stage. Once per battle.",0,0
Dazzling,219,This Pokemon and its allies are protected from opposing priority moves.,0,0
Defeatist,129,"While this Pokemon has 1/2 or less of its max HP, its Attack and Sp. Atk are halved.",0,0
Defiant,128,This Pokemon's Attack is raised by 2 for each of its stats that is lowered by a foe.,0,0
Delta Stream,191,"On switch-in, strong winds begin until this Ability is not active in battle.",0,0
Desolate Land,190,"On switch-in, extremely harsh sunlight begins until this Ability is not active in battle.",0,0
Disguise,209,"(Mimikyu only) The first hit it takes is blocked, and it takes 1/8 HP damage instead.",1,0
Download,88,"On switch-in, Attack or Sp. Atk is raised 1 stage based on the foes' weaker Defense.",0,0
Dragon's Maw,263,This Pokemon's offensive stat is multiplied by 1.5 while using a Dragon-type attack.,0,0
Drizzle,2,"On switch-in, this Pokemon summons Rain Dance.",0,0
Drought,70,"On switch-in, this Pokemon summons Sunny Day.",0,0
Dry Skin,87,"This Pokemon is healed 1/4 by Water, 1/8 by Rain; is hurt 1.25x by Fire, 1/8 by Sun.",0,0
Early Bird,48,This Pokemon's sleep counter drops by 2 instead of 1.,0,0
Earth Eater,297,This Pokemon heals 1/4 of its max HP when hit by Ground moves; Ground immunity.,0,0
Effect Spore,27,30% chance of poison/paralysis/sleep on others making contact with this Pokemon.,0,0
Electric Surge,226,"On switch-in, this Pokemon summons Electric Terrain.",0,0
Electromorphosis,280,This Pokemon gains the Charge effect when it takes a hit from an attack.,0,0
Embody Aspect (Cornerstone),304,"On switch-in, this Pokemon's Defense is raised by 1 stage.",0,0
Embody Aspect (Hearthflame),303,"On switch-in, this Pokemon's Attack is raised by 1 stage.",0,0
Embody Aspect (Teal),301,"On switch-in, this Pokemon's Speed is raised by 1 stage.",0,0
Embody Aspect (Wellspring),302,"On switch-in, this Pokemon's Special Defense is raised by 1 stage.",0,0
Emergency Exit,194,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.,0,0
Fairy Aura,187,"While this Pokemon is active, a Fairy move used by any Pokemon has 1.33x power.",0,0
Filter,111,This Pokemon receives 3/4 damage from supereffective attacks.,0,0
Flame Body,49,30% chance a Pokemon making contact with this Pokemon will be burned.,0,0
Flare Boost,138,"While this Pokemon is burned, its special attacks have 1.5x power.",0,0
Flash Fire,18,This Pokemon's Fire attacks do 1.5x damage if hit by one Fire move; Fire immunity.,0,0
Flower Gift,122,"If user is Cherrim and Sunny Day is active, it and allies' Attack and Sp. Def are 1.5x.",0,0
