name,dex_num,fling_power,ignored_by_klutz,category,description
Ability Shield,1881,30,1,[],"Holder's Ability cannot be changed, suppressed, or ignored by any effect."
Abomasite,674,0,0,[],"If held by an Abomasnow, this item allows it to Mega Evolve in battle."
Absolite,677,0,0,[],"If held by an Absol, this item allows it to Mega Evolve in battle."
Absorb Bulb,545,30,0,[],Raises holder's Sp. Atk by 1 stage if hit by a Water-type attack. Single use.
Adamant Crystal,1777,0,0,[],"If held by a Dialga, its Steel- and Dragon-type attacks have 1.2x power."
Adamant Orb,135,60,0,[],"If held by a Dialga, its Steel- and Dragon-type attacks have 1.2x power."
Adrenaline Orb,846,30,0,[],Raises holder's Speed by 1 stage if it gets affected by Intimidate. Single use.
Aerodactylite,672,0,0,[],"If held by an Aerodactyl, this item allows it to Mega Evolve in battle."
Aggronite,667,0,0,[],"If held by an Aggron, this item allows it to Mega Evolve in battle."
Aguav Berry,162,0,0,"[""isBerry""]",Restores 1/3 max HP at 1/4 max HP or less; confuses if -SpD Nature. Single use.
Air Balloon,541,10,0,[],Holder is immune to Ground-type attacks. Pops when holder is hit.
Alakazite,679,0,0,[],"If held by an Alakazam, this item allows it to Mega Evolve in battle."
Aloraichium Z,803,0,0,"[""zMove""]","If held by an Alolan Raichu with Thunderbolt, it can use Stoked Sparksurfer."
Altarianite,755,0,0,[],"If held by an Altaria, this item allows it to Mega Evolve in battle."
Ampharosite,658,0,0,[],"If held by an Ampharos, this item allows it to Mega Evolve in battle."
Apicot Berry,205,0,0,"[""isBerry""]",Raises holder's Sp. Def by 1 stage when at 1/4 max HP or less. Single use.
Armor Fossil,104,100,0,[],Can be revived into Shieldon.
Aspear Berry,153,0,0,"[""isBerry""]",Holder is cured if it is frozen. Single use.
Assault Vest,640,80,0,[],"Holder's Sp. Def is 1.5x, but it can only select damaging moves."
Audinite,757,0,0,[],"If held by an Audino, this item allows it to Mega Evolve in battle."
Auspicious Armor,2344,30,0,[],Evolves Charcadet into Armarouge when used.
Babiri Berry,199,0,0,"[""isBerry""]",Halves damage taken from a supereffective Steel-type attack. Single use.
Banettite,668,0,0,[],"If held by a Banette, this item allows it to Mega Evolve in battle."
Beast Ball,851,0,0,[],A special Poke Ball designed to catch Ultra Beasts.
Beedrillite,770,0,0,[],"If held by a Beedrill, this item allows it to Mega Evolve in battle."
Belue Berry,183,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Berry Juice,43,30,0,[],Restores 20 HP when at 1/2 max HP or less. Single use.
Berry Sweet,1111,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Big Nugget,581,130,0,[],A big nugget of pure gold that gives off a lustrous gleam.
Big Root,296,10,0,[],Holder gains 1.3x HP from draining/Aqua Ring/Ingrain/Leech Seed/Strength Sap.
Binding Band,544,30,0,[],Holder's partial-trapping moves deal 1/6 max HP per turn instead of 1/8.
Black Belt,241,30,0,[],Holder's Fighting-type attacks have 1.2x power.
Black Glasses,240,30,0,[],Holder's Dark-type attacks have 1.2x power.
Black Sludge,281,30,0,[],"Each turn, if holder is a Poison type, restores 1/16 max HP; loses 1/8 if not."
Blastoisinite,661,0,0,[],"If held by a Blastoise, this item allows it to Mega Evolve in battle."
Blazikenite,664,0,0,[],"If held by a Blaziken, this item allows it to Mega Evolve in battle."
Blue Orb,535,0,0,[],"If held by a Kyogre, this item triggers its Primal Reversion in battle."
Bluk Berry,165,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Blunder Policy,1121,80,0,[],"If the holder misses due to accuracy, its Speed is raised by 2 stages. Single use."
Booster Energy,1880,30,0,[],Activates the Protosynthesis or Quark Drive Abilities. Single use.
Bottle Cap,795,30,0,[],Used for Hyper Training. One of a Pokemon's stats is calculated with an IV of 31.
Bright Powder,213,10,0,[],The accuracy of attacks against the holder is 0.9x.
Bug Gem,558,0,0,"[""isGem""]",Holder's first successful Bug-type attack will have 1.3x power. Single use.
Bug Memory,909,0,0,[],Holder's Multi-Attack is Bug type.
Buginium Z,787,0,0,"[""zMove""]","If holder has a Bug move, this item allows it to use a Bug Z-Move."
Burn Drive,118,0,0,[],Holder's Techno Blast is Fire type.
Cameruptite,767,0,0,[],"If held by a Camerupt, this item allows it to Mega Evolve in battle."
Cell Battery,546,30,0,[],Raises holder's Attack by 1 if hit by an Electric-type attack. Single use.
Charcoal,249,30,0,[],Holder's Fire-type attacks have 1.2x power.
Charizardite X,660,0,0,[],"If held by a Charizard, this item allows it to Mega Evolve in battle."
Charizardite Y,678,0,0,[],"If held by a Charizard, this item allows it to Mega Evolve in battle."
Charti Berry,195,0,0,"[""isBerry""]",Halves damage taken from a supereffective Rock-type attack. Single use.
Cheri Berry,149,0,0,"[""isBerry""]",Holder cures itself if it is paralyzed. Single use.
Cherish Ball,16,0,0,[],A rare Poke Ball that has been crafted to commemorate an occasion.
Chesto Berry,150,0,0,"[""isBerry""]",Holder wakes up if it is asleep. Single use.
Chilan Berry,200,0,0,"[""isBerry""]",Halves damage taken from a Normal-type attack. Single use.
Chill Drive,119,0,0,[],Holder's Techno Blast is Ice type.
Chipped Pot,1254,80,0,[],Evolves Sinistea-Antique into Polteageist-Antique when used.
Choice Band,220,10,0,"[""isChoice""]","Holder's Attack is 1.5x, but it can only select the first move it executes."
Choice Scarf,287,10,0,"[""isChoice""]","Holder's Speed is 1.5x, but it can only select the first move it executes."
Choice Specs,297,10,0,"[""isChoice""]","Holder's Sp. Atk is 1.5x, but it can only select the first move it executes."
Chople Berry,189,0,0,"[""isBerry""]",Halves damage taken from a supereffective Fighting-type attack. Single use.
Claw Fossil,100,100,0,[],Can be revived into Anorith.
Clear Amulet,1882,30,0,[],Prevents other Pokemon from lowering the holder's stat stages.
Clover Sweet,1112,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Coba Berry,192,0,0,"[""isBerry""]",Halves damage taken from a supereffective Flying-type attack. Single use.
Colbur Berry,198,0,0,"[""isBerry""]",Halves damage taken from a supereffective Dark-type attack. Single use.
Cornerstone Mask,2406,60,0,[],Ogerpon-Cornerstone: 1.2x power attacks; Terastallize to gain Embody Aspect.
Cornn Berry,175,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Cover Fossil,572,100,0,[],Can be revived into Tirtouga.
Covert Cloak,1885,30,0,[],Holder is not affected by the secondary effect of another Pokemon's attack.
Cracked Pot,1253,80,0,[],Evolves Sinistea into Polteageist when used.
Custap Berry,210,0,0,"[""isBerry""]",Holder moves first in its priority bracket when at 1/4 max HP or less. Single use.
Damp Rock,285,60,0,[],Holder's use of Rain Dance lasts 8 turns instead of 5.
Dark Gem,562,0,0,"[""isGem""]",Holder's first successful Dark-type attack will have 1.3x power. Single use.
Dark Memory,919,0,0,[],Holder's Multi-Attack is Dark type.
Darkinium Z,791,0,0,"[""zMove""]","If holder has a Dark move, this item allows it to use a Dark Z-Move."
Dawn Stone,109,80,0,[],Evolves certain species of Pokemon when used.
Decidium Z,798,0,0,"[""zMove""]","If held by a Decidueye with Spirit Shackle, it can use Sinister Arrow Raid."
Deep Sea Scale,227,30,0,[],"If held by a Clamperl, its Sp. Def is doubled."
Deep Sea Tooth,226,90,0,[],"If held by a Clamperl, its Sp. Atk is doubled."
Destiny Knot,280,10,0,[],"If holder becomes infatuated, the other Pokemon also becomes infatuated."
Diancite,764,0,0,[],"If held by a Diancie, this item allows it to Mega Evolve in battle."
Dive Ball,7,0,0,[],A Poke Ball that works especially well on Pokemon that live underwater.
Dome Fossil,102,100,0,[],Can be revived into Kabuto.
Douse Drive,116,0,0,[],Holder's Techno Blast is Water type.
Draco Plate,311,0,0,[],Holder's Dragon-type attacks have 1.2x power. Judgment is Dragon type.
Dragon Fang,250,70,0,[],Holder's Dragon-type attacks have 1.2x power.
Dragon Gem,561,0,0,"[""isGem""]",Holder's first successful Dragon-type attack will have 1.3x power. Single use.
Dragon Memory,918,0,0,[],Holder's Multi-Attack is Dragon type.
Dragon Scale,235,30,0,[],Evolves Seadra into Kingdra when traded.
Dragonium Z,790,0,0,"[""zMove""]","If holder has a Dragon move, this item allows it to use a Dragon Z-Move."
Dread Plate,312,0,0,[],Holder's Dark-type attacks have 1.2x power. Judgment is Dark type.
Dream Ball,576,0,0,[],A Poke Ball that makes it easier to catch wild Pokémon while they're asleep.
Dubious Disc,324,50,0,[],Evolves Porygon2 into Porygon-Z when traded.
Durin Berry,182,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Dusk Ball,13,0,0,[],A Poke Ball that makes it easier to catch wild Pokemon at night or in caves.
Dusk Stone,108,80,0,[],Evolves certain species of Pokemon when used.
Earth Plate,305,0,0,[],Holder's Ground-type attacks have 1.2x power. Judgment is Ground type.
Eevium Z,805,0,0,"[""zMove""]","If held by an Eevee with Last Resort, it can use Extreme Evoboost."
Eject Button,547,30,0,[],"If holder survives a hit, it immediately switches out to a chosen ally. Single use."
Eject Pack,1119,50,0,[],"If the holder's stat stages are lowered, it switches to a chosen ally. Single use."
Electirizer,322,80,0,[],Evolves Electabuzz into Electivire when traded.
Electric Gem,550,0,0,"[""isGem""]",Holder's first successful Electric-type attack will have 1.3x power. Single use.
Electric Memory,915,0,0,[],Holder's Multi-Attack is Electric type.
Electric Seed,881,10,0,[],"If the terrain is Electric Terrain, raises holder's Defense by 1 stage. Single use."
Electrium Z,779,0,0,"[""zMove""]","If holder has an Electric move, this item allows it to use an Electric Z-Move."
Enigma Berry,208,0,0,"[""isBerry""]",Restores 1/4 max HP after holder is hit by a supereffective move. Single use.
Eviolite,538,40,0,[],"If holder's species can evolve, its Defense and Sp. Def are 1.5x."
Expert Belt,268,10,0,[],Holder's attacks that are super effective against the target do 1.2x damage.
Fairium Z,793,0,0,"[""zMove""]","If holder has a Fairy move, this item allows it to use a Fairy Z-Move."
Fairy Feather,2401,10,0,[],Holder's Fairy-type attacks have 1.2x power.
Fairy Gem,715,0,0,"[""isGem""]",Holder's first successful Fairy-type attack will have 1.3x power. Single use.
Fairy Memory,920,0,0,[],Holder's Multi-Attack is Fairy type.
Fast Ball,492,0,0,[],A Poke Ball that makes it easier to catch Pokemon which are quick to run away.
Fighting Gem,553,0,0,"[""isGem""]",Holder's first successful Fighting-type attack will have 1.3x power. Single use.
Fighting Memory,904,0,0,[],Holder's Multi-Attack is Fighting type.
Fightinium Z,782,0,0,"[""zMove""]","If holder has a Fighting move, this item allows it to use a Fighting Z-Move."
Figy Berry,159,0,0,"[""isBerry""]",Restores 1/3 max HP at 1/4 max HP or less; confuses if -Atk Nature. Single use.
Fire Gem,548,0,0,"[""isGem""]",Holder's first successful Fire-type attack will have 1.3x power. Single use.
Fire Memory,912,0,0,[],Holder's Multi-Attack is Fire type.
Fire Stone,82,30,0,[],Evolves certain species of Pokemon when used.
Firium Z,777,0,0,"[""zMove""]","If holder has a Fire move, this item allows it to use a Fire Z-Move."
Fist Plate,303,0,0,[],Holder's Fighting-type attacks have 1.2x power. Judgment is Fighting type.
Flame Orb,273,30,0,[],"At the end of every turn, this item attempts to burn the holder."
Flame Plate,298,0,0,[],Holder's Fire-type attacks have 1.2x power. Judgment is Fire type.
Float Stone,539,30,0,[],Holder's weight is halved.
Flower Sweet,1113,0,0,[],Evolves Milcery into Alcremie when held and spun around.
Flying Gem,556,0,0,"[""isGem""]",Holder's first successful Flying-type attack will have 1.3x power. Single use.
Flying Memory,905,0,0,[],Holder's Multi-Attack is Flying type.
Flyinium Z,785,0,0,"[""zMove""]","If holder has a Flying move, this item allows it to use a Flying Z-Move."
Focus Band,230,10,0,[],Holder has a 10% chance to survive an attack that would KO it with 1 HP.
Focus Sash,275,10,0,[],"If holder's HP is full, will survive an attack that would KO it with 1 HP. Single use."
Fossilized Bird,1105,100,0,[],Can revive into Dracozolt with Fossilized Drake or Arctozolt with Fossilized Dino.
Fossilized Dino,1108,100,0,[],Can revive into Arctovish with Fossilized Fish or Arctozolt with Fossilized Bird.
Fossilized Drake,1107,100,0,[],Can revive into Dracozolt with Fossilized Bird or Dracovish with Fossilized Fish.
Fossilized Fish,1106,100,0,[],Can revive into Dracovish with Fossilized Drake or Arctovish with Fossilized Dino.
Friend Ball,497,0,0,[],A Poke Ball that makes caught Pokemon more friendly.
Full Incense,316,10,0,[],Holder moves last in its priority bracket.
Galarica Cuff,1582,30,0,[],Evolves Galarian Slowpoke into Galarian Slowbro when used.
Galarica Wreath,1592,30,0,[],Evolves Galarian Slowpoke into Galarian Slowking when used.
Galladite,756,0,0,[],"If held by a Gallade, this item allows it to Mega Evolve in battle."
Ganlon Berry,202,0,0,"[""isBerry""]",Raises holder's Defense by 1 stage when at 1/4 max HP or less. Single use.
Garchompite,683,0,0,[],"If held by a Garchomp, this item allows it to Mega Evolve in battle."
Gardevoirite,657,0,0,[],"If held by a Gardevoir, this item allows it to Mega Evolve in battle."
Gengarite,656,0,0,[],"If held by a Gengar, this item allows it to Mega Evolve in battle."
Ghost Gem,560,0,0,"[""isGem""]",Holder's first successful Ghost-type attack will have 1.3x power. Single use.
Ghost Memory,910,0,0,[],Holder's Multi-Attack is Ghost type.
Ghostium Z,789,0,0,"[""zMove""]","If holder has a Ghost move, this item allows it to use a Ghost Z-Move."
Glalitite,763,0,0,[],"If held by a Glalie, this item allows it to Mega Evolve in battle."
Gold Bottle Cap,796,30,0,[],Used for Hyper Training. All of a Pokemon's stats are calculated with an IV of 31.
Grass Gem,551,0,0,"[""isGem""]",Holder's first successful Grass-type attack will have 1.3x power. Single use.
Grass Memory,914,0,0,[],Holder's Multi-Attack is Grass type.
Grassium Z,780,0,0,"[""zMove""]","If holder has a Grass move, this item allows it to use a Grass Z-Move."
Grassy Seed,884,10,0,[],"If the terrain is Grassy Terrain, raises holder's Defense by 1 stage. Single use."
Great Ball,3,0,0,[],A high-performance Ball that provides a higher catch rate than a Poke Ball.
Grepa Berry,173,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Grip Claw,286,90,0,[],Holder's partial-trapping moves always last 7 turns.
Griseous Core,1779,0,0,[],"If held by a Giratina, its Ghost- and Dragon-type attacks have 1.2x power."
Griseous Orb,112,60,0,[],"If held by a Giratina, its Ghost- and Dragon-type attacks have 1.2x power."
Ground Gem,555,0,0,"[""isGem""]",Holder's first successful Ground-type attack will have 1.3x power. Single use.
Ground Memory,907,0,0,[],Holder's Multi-Attack is Ground type.
Groundium Z,784,0,0,"[""zMove""]","If holder has a Ground move, this item allows it to use a Ground Z-Move."
Gyaradosite,676,0,0,[],"If held by a Gyarados, this item allows it to Mega Evolve in battle."
Haban Berry,197,0,0,"[""isBerry""]",Halves damage taken from a supereffective Dragon-type attack. Single use.
Hard Stone,238,100,0,[],Holder's Rock-type attacks have 1.2x power.
Heal Ball,14,0,0,[],A remedial Poke Ball that restores the caught Pokemon's HP and status problem.
Hearthflame Mask,2408,60,0,[],Ogerpon-Hearthflame: 1.2x power attacks; Terastallize to gain Embody Aspect.
Heat Rock,284,60,0,[],Holder's use of Sunny Day lasts 8 turns instead of 5.
Heavy Ball,495,0,0,[],A Poke Ball for catching very heavy Pokemon.
Heavy-Duty Boots,1120,80,0,[],"When switching in, the holder is unaffected by hazards on its side of the field."
Helix Fossil,101,100,0,[],Can be revived into Omanyte.
Heracronite,680,0,0,[],"If held by a Heracross, this item allows it to Mega Evolve in battle."
Hondew Berry,172,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Houndoominite,666,0,0,[],"If held by a Houndoom, this item allows it to Mega Evolve in battle."
Iapapa Berry,163,0,0,"[""isBerry""]",Restores 1/3 max HP at 1/4 max HP or less; confuses if -Def Nature. Single use.
Ice Gem,552,0,0,"[""isGem""]",Holder's first successful Ice-type attack will have 1.3x power. Single use.
Ice Memory,917,0,0,[],Holder's Multi-Attack is Ice type.
Ice Stone,849,30,0,[],Evolves certain species of Pokemon when used.
Icicle Plate,302,0,0,[],Holder's Ice-type attacks have 1.2x power. Judgment is Ice type.
Icium Z,781,0,0,"[""zMove""]","If holder has an Ice move, this item allows it to use an Ice Z-Move."
Icy Rock,282,40,0,[],Holder's use of Snowscape lasts 8 turns instead of 5.
Incinium Z,799,0,0,"[""zMove""]","If held by an Incineroar with Darkest Lariat, it can use Malicious Moonsault."
Insect Plate,308,0,0,[],Holder's Bug-type attacks have 1.2x power. Judgment is Bug type.
Iron Ball,278,130,0,[],"Holder is grounded, Speed halved. If Flying type, takes neutral Ground damage."
Iron Plate,313,0,0,[],Holder's Steel-type attacks have 1.2x power. Judgment is Steel type.
Jaboca Berry,211,0,0,"[""isBerry""]","If holder is hit by a physical move, attacker loses 1/8 of its max HP. Single use."
Jaw Fossil,710,100,0,[],Can be revived into Tyrunt.
Kasib Berry,196,0,0,"[""isBerry""]",Halves damage taken from a supereffective Ghost-type attack. Single use.
Kebia Berry,190,0,0,"[""isBerry""]",Halves damage taken from a supereffective Poison-type attack. Single use.
Kee Berry,687,0,0,"[""isBerry""]",Raises holder's Defense by 1 stage after it is hit by a physical attack. Single use.
Kelpsy Berry,170,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Kangaskhanite,675,0,0,[],"If held by a Kangaskhan, this item allows it to Mega Evolve in battle."
King's Rock,221,30,0,[],Holder's attacks without a chance to flinch gain a 10% chance to flinch.
Kommonium Z,926,0,0,"[""zMove""]","If held by a Kommo-o with Clanging Scales, it can use Clangorous Soulblaze."
Lagging Tail,279,10,0,[],Holder moves last in its priority bracket.
Lansat Berry,206,0,0,"[""isBerry""]",Holder gains the Focus Energy effect when at 1/4 max HP or less. Single use.
Latiasite,684,0,0,[],"If held by a Latias, this item allows it to Mega Evolve in battle."
Latiosite,685,0,0,[],"If held by a Latios, this item allows it to Mega Evolve in battle."
Lax Incense,255,10,0,[],The accuracy of attacks against the holder is 0.9x.
Leaf Stone,85,30,0,[],Evolves certain species of Pokemon when used.
Leek,259,60,0,[],"If held by a Farfetch’d or Sirfetch’d, its critical hit ratio is raised by 2 stages."
Leftovers,234,10,0,[],"At the end of every turn, holder restores 1/16 of its max HP."
Leppa Berry,154,0,0,"[""isBerry""]",Restores 10 PP to the first of the holder's moves to reach 0 PP. Single use.
Level Ball,493,0,0,[],A Poke Ball for catching Pokemon that are a lower level than your own.
Liechi Berry,201,0,0,"[""isBerry""]",Raises holder's Attack by 1 stage when at 1/4 max HP or less. Single use.
Life Orb,270,30,0,[],"Holder's attacks do 1.3x damage, and it loses 1/10 its max HP after the attack."
Light Ball,236,30,0,[],"If held by a Pikachu, its Attack and Sp. Atk are doubled."
Light Clay,269,30,0,[],"Holder's use of Aurora Veil, Light Screen, or Reflect lasts 8 turns instead of 5."
Loaded Dice,1886,30,0,[],Holder's moves that hit 2-5 times hit 4-5 times; Population Bomb hits 4-10 times.
Lopunnite,768,0,0,[],"If held by a Lopunny, this item allows it to Mega Evolve in battle."
Love Ball,496,0,0,[],Poke Ball for catching Pokemon that are the opposite gender of your Pokemon.
Love Sweet,1110,10,0,[],Evolves Milcery into Alcremie when held and spun around.
Lucarionite,673,0,0,[],"If held by a Lucario, this item allows it to Mega Evolve in battle."
Lucky Punch,256,40,0,[],"If held by a Chansey, its critical hit ratio is raised by 2 stages."
Lum Berry,157,0,0,"[""isBerry""]",Holder cures itself if it has a non-volatile status or is confused. Single use.
Luminous Moss,648,30,0,[],Raises holder's Sp. Def by 1 stage if hit by a Water-type attack. Single use.
Lunalium Z,922,0,0,"[""zMove""]",Lunala or Dawn Wings Necrozma with Moongeist Beam can use a special Z-Move.
Lure Ball,494,0,0,[],A Poke Ball for catching Pokemon hooked by a Rod when fishing.
Lustrous Globe,1778,0,0,[],"If held by a Palkia, its Water- and Dragon-type attacks have 1.2x power."
Lustrous Orb,136,60,0,[],"If held by a Palkia, its Water- and Dragon-type attacks have 1.2x power."
Luxury Ball,11,0,0,[],A comfortable Poke Ball that makes a caught wild Pokemon quickly grow friendly.
Lycanium Z,925,0,0,"[""zMove""]","If held by a Lycanroc forme with Stone Edge, it can use Splintered Stormshards."
Macho Brace,215,60,1,[],Holder's Speed is halved. The Klutz Ability does not ignore this effect.
Magmarizer,323,80,0,[],Evolves Magmar into Magmortar when traded.
Magnet,242,30,0,[],Holder's Electric-type attacks have 1.2x power.
Mago Berry,161,0,0,"[""isBerry""]",Restores 1/3 max HP at 1/4 max HP or less; confuses if -Spe Nature. Single use.
Magost Berry,176,0,0,"[""isBerry""]",Cannot be eaten by the holder. No effect when eaten with Bug Bite or Pluck.
Mail,137,0,0,[],"Cannot be given to or taken from a Pokemon, except by Covet/Knock Off/Thief."
Malicious Armor,1861,30,0,[],Evolves Charcadet into Ceruledge when used.
Manectite,682,0,0,[],"If held by a Manectric, this item allows it to Mega Evolve in battle."
Maranga Berry,688,0,0,"[""isBerry""]",Raises holder's Sp. Def by 1 stage after it is hit by a special attack. Single use.
Marshadium Z,802,0,0,"[""zMove""]","If held by Marshadow with Spectral Thief, it can use Soul-Stealing 7-Star Strike."
Master Ball,1,0,0,[],The best Ball with the ultimate performance. It will catch any wild Pokemon.
Masterpiece Teacup,2404,80,0,[],Evolves Poltchageist-Artisan into Sinistcha-Masterpiece when used.
Mawilite,681,0,0,[],"If held by a Mawile, this item allows it to Mega Evolve in battle."
Meadow Plate,301,0,0,[],Holder's Grass-type attacks have 1.2x power. Judgment is Grass type.
Medichamite,665,0,0,[],"If held by a Medicham, this item allows it to Mega Evolve in battle."
Mental Herb,219,10,0,[],"Cures holder of Attract, Disable, Encore, Heal Block, Taunt, Torment. Single use."
Metagrossite,758,0,0,[],"If held by a Metagross, this item allows it to Mega Evolve in battle."
Metal Alloy,2482,0,0,[],Evolves Duraludon into Archaludon when used.
Metal Coat,233,30,0,[],Holder's Steel-type attacks have 1.2x power.
Metal Powder,257,10,0,[],"If held by a Ditto that hasn't Transformed, its Defense is doubled."
Metronome,277,30,0,[],Damage of moves used on consecutive turns is increased. Max 2x after 5 turns.
Mewnium Z,806,0,0,"[""zMove""]","If held by a Mew with Psychic, it can use Genesis Supernova."
Mewtwonite X,662,0,0,[],"If held by a Mewtwo, this item allows it to Mega Evolve in battle."
Mewtwonite Y,663,0,0,[],"If held by a Mewtwo, this item allows it to Mega Evolve in battle."
Micle Berry,209,0,0,"[""isBerry""]",Holder's next move has 1.2x accuracy when at 1/4 max HP or less. Single use.
Mimikium Z,924,0,0,"[""zMove""]","If held by a Mimikyu with Play Rough, it can use Let's Snuggle Forever."
Mind Plate,307,0,0,[],Holder's Psychic-type attacks have 1.2x power. Judgment is Psychic type.
Miracle Seed,239,30,0,[],Holder's Grass-type attacks have 1.2x power.
Mirror Herb,1883,30,0,[],"When an opposing Pokemon raises a stat stage, the holder copies it. Single use."
Misty Seed,883,10,0,[],"If the terrain is Misty Terrain, raises holder's Sp. Def by 1 stage. Single use."
Moon Ball,498,0,0,[],A Poke Ball for catching Pokemon that evolve using the Moon Stone.
Moon Stone,81,30,0,[],Evolves certain species of Pokemon when used.
Muscle Band,266,10,0,[],Holder's physical attacks have 1.1x power.
