name,type,dex_num,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
"10,000,000 Volt Thunderbolt","""Electric""",719,Special,normal,195,-1,0,1,Very high critical hit ratio.,Has a very high chance for a critical hit.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Absorb,"""Grass""",71,Special,normal,20,100,0,25,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",0,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Accelerock,"""Rock""",709,Physical,normal,40,100,1,20,Usually goes first.,No additional effect.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Acid,"""Poison""",51,Special,allAdjacentFoes,40,100,0,30,10% chance to lower the foe(s) Sp. Def by 1.,Has a 10% chance to lower the target's Special Defense by 1 stage.,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Acid Armor,"""Poison""",151,Status,self,0,-1,0,20,Raises the user's Defense by 2.,Raises the user's Defense by 2 stages.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acid Downpour,"""Poison""",628,Physical,normal,1,-1,0,1,Power is equal to the base move's Z-Power.,Power is equal to the base move's Z-Power.,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acid Spray,"""Poison""",491,Special,normal,40,100,0,20,100% chance to lower the target's Sp. Def by 2.,Has a 100% chance to lower the target's Special Defense by 2 stages.,1,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Acrobatics,"""Flying""",512,Physical,any,55,100,0,15,Power doubles if the user has no held item.,Power doubles if the user has no held item.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Acupressure,"""Normal""",367,Status,adjacentAllyOrSelf,0,-1,0,30,Raises a random stat of the user or an ally by 2.,Raises a random stat by 2 stages as long as the stat is not already at stage 6. The user can choose to use this move on itself or an adjacent ally. Fails if no stat stage can be raised or if used on an ally with a substitute.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aerial Ace,"""Flying""",332,Physical,any,60,-1,0,20,This move does not check accuracy.,This move does not check accuracy.,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeroblast,"""Flying""",177,Special,any,100,95,0,5,High critical hit ratio.,Has a higher chance for a critical hit.,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
