name,dex_num,type,is_pre_evolution,weight,gender_ratio,is_mythical,is_legendary,is_max,is_mega,mandatory_item_name,base_stats
Bulbasaur,1,"[""Grass"", ""Poison""]",1,6.9,0.875,0,0,0,0,,"{""hp"": 45, ""atk"": 49, ""def"": 49, ""spa"": 65, ""spd"": 65, ""spe"": 45}"
Ivysaur,2,"[""Grass"", ""Poison""]",1,13,0.875,0,0,0,0,,"{""hp"": 60, ""atk"": 62, ""def"": 63, ""spa"": 80, ""spd"": 80, ""spe"": 60}"
Venusaur,3,"[""Grass"", ""Poison""]",0,100,0.875,0,0,0,0,,"{""hp"": 80, ""atk"": 82, ""def"": 83, ""spa"": 100, ""spd"": 100, ""spe"": 80}"
Venusaur-Mega,3,"[""Grass"", ""Poison""]",0,155.5,0.875,0,0,0,1,Venusaurite,"{""hp"": 80, ""atk"": 100, ""def"": 123, ""spa"": 122, ""spd"": 120, ""spe"": 80}"
Venusaur-Gmax,3,"[""Grass"", ""Poison""]",0,0,0.875,0,0,1,0,,"{""hp"": 80, ""atk"": 82, ""def"": 83, ""spa"": 100, ""spd"": 100, ""spe"": 80}"
Charmander,4,"[""Fire""]",1,8.5,0.875,0,0,0,0,,"{""hp"": 39, ""atk"": 52, ""def"": 43, ""spa"": 60, ""spd"": 50, ""spe"": 65}"
Charmeleon,5,"[""Fire""]",1,19,0.875,0,0,0,0,,"{""hp"": 58, ""atk"": 64, ""def"": 58, ""spa"": 80, ""spd"": 65, ""spe"": 80}"
Charizard,6,"[""Fire"", ""Flying""]",0,90.5,0.875,0,0,0,0,,"{""hp"": 78, ""atk"": 84, ""def"": 78, ""spa"": 109, ""spd"": 85, ""spe"": 100}"
Charizard-Mega-X,6,"[""Fire"", ""Dragon""]",0,110.5,0.875,0,0,0,1,Charizardite X,"{""hp"": 78, ""atk"": 130, ""def"": 111, ""spa"": 130, ""spd"": 85, ""spe"": 100}"
Charizard-Mega-Y,6,"[""Fire"", ""Flying""]",0,100.5,0.875,0,0,0,1,Charizardite Y,"{""hp"": 78, ""atk"": 104, ""def"": 78, ""spa"": 159, ""spd"": 115, ""spe"": 100}"
Charizard-Gmax,6,"[""Fire"", ""Flying""]",0,0,0.875,0,0,1,0,,"{""hp"": 78, ""atk"": 84, ""def"": 78, ""spa"": 109, ""spd"": 85, ""spe"": 100}"
Squirtle,7,"[""Water""]",1,9,0.875,0,0,0,0,,"{""hp"": 44, ""atk"": 48, ""def"": 65, ""spa"": 50, ""spd"": 64, ""spe"": 43}"
Wartortle,8,"[""Water""]",1,22.5,0.875,0,0,0,0,,"{""hp"": 59, ""atk"": 63, ""def"": 80, ""spa"": 65, ""spd"": 80, ""spe"": 58}"
Blastoise,9,"[""Water""]",0,85.5,0.875,0,0,0,0,,"{""hp"": 79, ""atk"": 83, ""def"": 100, ""spa"": 85, ""spd"": 105, ""spe"": 78}"
Blastoise-Mega,9,"[""Water""]",0,101.1,0.875,0,0,0,1,Blastoisinite,"{""hp"": 79, ""atk"": 103, ""def"": 120, ""spa"": 135, ""spd"": 115, ""spe"": 78}"
Blastoise-Gmax,9,"[""Water""]",0,0,0.875,0,0,1,0,,"{""hp"": 79, ""atk"": 83, ""def"": 100, ""spa"": 85, ""spd"": 105, ""spe"": 78}"
Caterpie,10,"[""Bug""]",1,2.9,,0,0,0,0,,"{""hp"": 45, ""atk"": 30, ""def"": 35, ""spa"": 20, ""spd"": 20, ""spe"": 45}"
Metapod,11,"[""Bug""]",1,9.9,,0,0,0,0,,"{""hp"": 50, ""atk"": 20, ""def"": 55, ""spa"": 25, ""spd"": 25, ""spe"": 30}"
Butterfree,12,"[""Bug"", ""Flying""]",0,32,,0,0,0,0,,"{""hp"": 60, ""atk"": 45, ""def"": 50, ""spa"": 90, ""spd"": 80, ""spe"": 70}"
Butterfree-Gmax,12,"[""Bug"", ""Flying""]",0,0,,0,0,1,0,,"{""hp"": 60, ""atk"": 45, ""def"": 50, ""spa"": 90, ""spd"": 80, ""spe"": 70}"
Weedle,13,"[""Bug"", ""Poison""]",1,3.2,,0,0,0,0,,"{""hp"": 40, ""atk"": 35, ""def"": 30, ""spa"": 20, ""spd"": 20, ""spe"": 50}"
Kakuna,14,"[""Bug"", ""Poison""]",1,10,,0,0,0,0,,"{""hp"": 45, ""atk"": 25, ""def"": 50, ""spa"": 25, ""spd"": 25, ""spe"": 35}"
Beedrill,15,"[""Bug"", ""Poison""]",0,29.5,,0,0,0,0,,"{""hp"": 65, ""atk"": 90, ""def"": 40, ""spa"": 45, ""spd"": 80, ""spe"": 75}"
Beedrill-Mega,15,"[""Bug"", ""Poison""]",0,40.5,,0,0,0,1,Beedrillite,"{""hp"": 65, ""atk"": 150, ""def"": 40, ""spa"": 15, ""spd"": 80, ""spe"": 145}"
Pidgey,16,"[""Normal"", ""Flying""]",1,1.8,,0,0,0,0,,"{""hp"": 40, ""atk"": 45, ""def"": 40, ""spa"": 35, ""spd"": 35, ""spe"": 56}"
Pidgeotto,17,"[""Normal"", ""Flying""]",1,30,,0,0,0,0,,"{""hp"": 63, ""atk"": 60, ""def"": 55, ""spa"": 50, ""spd"": 50, ""spe"": 71}"
Pidgeot,18,"[""Normal"", ""Flying""]",0,39.5,,0,0,0,0,,"{""hp"": 83, ""atk"": 80, ""def"": 75, ""spa"": 70, ""spd"": 70, ""spe"": 101}"
Pidgeot-Mega,18,"[""Normal"", ""Flying""]",0,50.5,,0,0,0,1,Pidgeotite,"{""hp"": 83, ""atk"": 80, ""def"": 80, ""spa"": 135, ""spd"": 80, ""spe"": 121}"
Rattata,19,"[""Normal""]",1,3.5,,0,0,0,0,,"{""hp"": 30, ""atk"": 56, ""def"": 35, ""spa"": 25, ""spd"": 35, ""spe"": 72}"
Rattata-Alola,19,"[""Dark"", ""Normal""]",1,3.8,,0,0,0,0,,"{""hp"": 30, ""atk"": 56, ""def"": 35, ""spa"": 25, ""spd"": 35, ""spe"": 72}"
Raticate,20,"[""Normal""]",0,18.5,,0,0,0,0,,"{""hp"": 55, ""atk"": 81, ""def"": 60, ""spa"": 50, ""spd"": 70, ""spe"": 97}"
Raticate-Alola,20,"[""Dark"", ""Normal""]",0,25.5,,0,0,0,0,,"{""hp"": 75, ""atk"": 71, ""def"": 70, ""spa"": 40, ""spd"": 80, ""spe"": 77}"
Raticate-Alola-Totem,20,"[""Dark"", ""Normal""]",0,105,,0,0,0,0,,"{""hp"": 75, ""atk"": 71, ""def"": 70, ""spa"": 40, ""spd"": 80, ""spe"": 77}"
Spearow,21,"[""Normal"", ""Flying""]",1,2,,0,0,0,0,,"{""hp"": 40, ""atk"": 60, ""def"": 30, ""spa"": 31, ""spd"": 31, ""spe"": 70}"
Fearow,22,"[""Normal"", ""Flying""]",0,38,,0,0,0,0,,"{""hp"": 65, ""atk"": 90, ""def"": 65, ""spa"": 61, ""spd"": 61, ""spe"": 100}"
Ekans,23,"[""Poison""]",1,6.9,,0,0,0,0,,"{""hp"": 35, ""atk"": 60, ""def"": 44, ""spa"": 40, ""spd"": 54, ""spe"": 55}"
Arbok,24,"[""Poison""]",0,65,,0,0,0,0,,"{""hp"": 60, ""atk"": 95, ""def"": 69, ""spa"": 65, ""spd"": 79, ""spe"": 80}"
Pikachu,25,"[""Electric""]",1,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Cosplay,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Rock-Star,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
Pikachu-Belle,25,"[""Electric""]",0,6,,0,0,0,0,,"{""hp"": 35, ""atk"": 55, ""def"": 40, ""spa"": 50, ""spd"": 50, ""spe"": 90}"
