id,name,dex_num,description,blocked_by_neut_gas,ignored
00c60487-cdbd-4223-b728-37fcb060cb8f,Power Construct,211,"If Zygarde 10%/50%, changes to Complete if at 1/2 max HP or less at end of turn.",true,false
028a57ba-d735-45b4-a208-de7ebdfe710d,Cud Chew,291,"If this Pokemon eats a Berry, it will eat that Berry again at the end of the next turn.",false,false
02ce0d3d-e6a3-4f5f-a6ca-5a7b5936054f,Hustle,55,This Pokemon's Attack is 1.5x and accuracy of its physical attacks is 0.8x.,false,false
02ecd9eb-e5e8-4019-8df1-9b8fe43bd4d8,Shield Dust,19,This Pokemon is not affected by the secondary effect of another Pokemon's attack.,false,false
03a9ec69-2c43-4730-b77b-00e1c330d7c0,Supersweet Syrup,306,"On switch-in, this Pokemon lowers the evasiveness of opponents 1 stage. Once per battle.",false,false
05bb44fc-2853-44c4-b964-cb35f0273703,Ice Scales,246,This Pokemon receives 1/2 damage from special attacks.,false,false
05d6904f-e213-4b47-b83b-e2252760327a,Own Tempo,20,This Pokemon cannot be confused. Immune to Intimidate.,false,false
07f74bc7-a7db-45b4-bafc-598bdc2c62f1,Ice Face,248,"If Eiscue, the first physical hit it takes deals 0 damage. Effect is restored in Snow.",true,false
081d2769-3a9e-48f4-b477-4998f0dd41d1,Sand Spit,245,"When this Pokemon is hit by an attack, the effect of Sandstorm begins.",false,false
0a1c3865-acd6-44f7-865e-b189fdc157a7,Defeatist,129,"While this Pokemon has 1/2 or less of its max HP, its Attack and Sp. Atk are halved.",false,false
0ac7dcb7-c399-438f-b44f-aa893ee3f3d2,Cursed Body,130,"If this Pokemon is hit by an attack, there is a 30% chance that move gets disabled.",false,false
0af6c2ea-bbf3-4e90-8c9e-1c8005f2fee5,Trace,36,"On switch-in, or when it can, this Pokemon copies a random adjacent foe's Ability.",false,false
0b4c82f4-a745-4725-9b1e-6cb124a4827c,Sticky Hold,60,This Pokemon cannot lose its held item due to another Pokemon's Ability or attack.,false,false
0e3658d7-e5e6-4833-8ae5-8795b90a94c7,Quick Draw,259,This Pokemon has a 30% chance to move first in its priority bracket with attacking moves.,false,false
0ed43700-93ce-438b-8551-2f4e82d3a882,Weak Armor,133,"If a physical attack hits this Pokemon, Defense is lowered by 1, Speed is raised by 2.",false,false
0f6bae7b-b9fd-4760-9b41-27940150cdc8,Anger Shell,271,"At 1/2 or less of this Pokemon's max HP: +1 Atk, Sp. Atk, Spe, and -1 Def, Sp. Def.",false,false
10773dbb-27bc-4f87-9af9-03903819bc3d,Pure Power,74,This Pokemon's Attack is doubled.,false,false
1302ca34-3a65-47aa-95bf-5f717cc184e0,Sand Force,159,This Pokemon's Ground/Rock/Steel attacks do 1.3x in Sandstorm; immunity to it.,false,false
13760beb-7513-4589-a37b-fbf391150aef,Swarm,68,"At 1/3 or less of its max HP, this Pokemon's offensive stat is 1.5x with Bug attacks.",false,false
1497137e-54be-41ad-a123-d7fe47095445,Seed Sower,269,"When this Pokemon is hit by an attack, the effect of Grassy Terrain begins.",false,false
15cc8adb-fb75-4d62-b610-c0c7cde102e4,Clear Body,29,Prevents other Pokemon from lowering this Pokemon's stat stages.,false,false
162b3e44-4c03-450d-8628-7d7832927dcc,Tangling Hair,221,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.,false,false
166744b1-5e28-454c-8fda-d39f922bd6cd,Flower Veil,166,This side's Grass types can't have stats lowered or status inflicted by other Pokemon.,false,false
175959a2-8745-48d6-a47d-5cbdf6ce9a98,Hyper Cutter,52,Prevents other Pokemon from lowering this Pokemon's Attack stat stage.,false,false
1774a4be-60a5-4ddb-a384-453468e2fc77,Mold Breaker,104,This Pokemon's moves and their effects ignore the Abilities of other Pokemon.,false,false
17a39028-34f2-4c21-9de8-c109b3d8cdb5,Desolate Land,190,"On switch-in, extremely harsh sunlight begins until this Ability is not active in battle.",false,false
17d23540-d9a5-48c8-8ba4-7f3b008f526f,Liquid Voice,204,This Pokemon's sound-based moves become Water type.,false,false
17d5549c-3f0d-4ac6-9477-e1d180934440,Magic Guard,98,This Pokemon can only be damaged by direct attacks.,false,false
17dcdcf4-da9d-4be1-9e0c-cb4aafd6f09f,Battery,217,This Pokemon's allies have the power of their special attacks multiplied by 1.3.,false,false
18000237-7274-408f-85b2-735f0c59036b,Color Change,16,"This Pokemon's type changes to the type of a move it's hit by, unless it has the type.",false,false
18f6702f-5b65-4d88-b468-52b307112758,Pickup,53,"If this Pokemon has no item, it finds one used by an adjacent Pokemon this turn.",false,false
1a0c6581-7e8a-4f16-a7c3-2283a33a5575,Innards Out,215,"If this Pokemon is KOed with a move, that move's user loses an equal amount of HP.",false,false
1acac925-5683-4ce2-8cbe-2330b73e5599,Hydration,93,This Pokemon has its status cured at the end of each turn if Rain Dance is active.,false,false
1ad07863-a91e-45bf-ba66-b5874ad5ecf4,Costar,294,"On switch-in, this Pokemon copies all of its ally's stat stage changes.",false,false
1bbc1c13-9611-44aa-b68f-9ef9a6c5ce8d,Gooey,183,Pokemon making contact with this Pokemon have their Speed lowered by 1 stage.,false,false
1bc9e420-e77c-4e8d-968e-6e028e71a151,Unaware,109,This Pokemon ignores other Pokemon's stat stages when taking or doing damage.,false,false
1c28437a-b75a-4639-9558-1501af8656a7,Earth Eater,297,This Pokemon heals 1/4 of its max HP when hit by Ground moves; Ground immunity.,false,false
1c7c9feb-1ae7-4de0-bfdb-85f52200217b,Prism Armor,232,This Pokemon receives 3/4 damage from supereffective attacks.,false,false
1e2b278b-648a-43cb-baaa-d7777419ea1b,Embody Aspect (Wellspring),302,"On switch-in, this Pokemon's Special Defense is raised by 1 stage.",false,false
1e2e590a-70b9-40df-a6f8-13022bc4356b,Wimp Out,193,This Pokemon switches out when it reaches 1/2 or less of its maximum HP.,false,false
20d51add-bb71-43ba-920a-b0641e6cf081,Beast Boost,224,This Pokemon's highest stat is raised by 1 if it attacks and KOes another Pokemon.,false,false
2275cc5a-6961-4f06-9589-c233bed407ff,Overcoat,142,"This Pokemon is immune to powder moves, Sandstorm damage, and Effect Spore.",false,false
227a910a-d61a-411d-9329-b9e72658ceb2,Minus,58,"If an active ally has this Ability or the Plus Ability, this Pokemon's Sp. Atk is 1.5x.",false,false
229b9479-47d7-4a37-9f60-c907a8683517,Marvel Scale,63,"If this Pokemon has a non-volatile status condition, its Defense is multiplied by 1.5.",false,false
22e291a7-f75d-4651-83b3-2279313068df,Cotton Down,238,"If this Pokemon is hit, it lowers the Speed of all other Pokemon on the field 1 stage.",false,false
22f3cb10-2d32-4526-85c7-24be24ffbc39,Sniper,97,"If this Pokemon strikes with a critical hit, the damage is multiplied by 1.5.",false,false
24957073-e630-49e5-a714-14c5c9ab7f80,Toxic Boost,137,"While this Pokemon is poisoned, its physical attacks have 1.5x power.",false,false
26021255-7708-457b-9462-cffe938fbb3c,Quark Drive,282,"Electric Terrain active or Booster Energy used: highest stat is 1.3x, or 1.5x if Speed.",false,false
264d3651-4baa-4d2d-b313-0868a55236a0,Embody Aspect (Teal),301,"On switch-in, this Pokemon's Speed is raised by 1 stage.",false,false
26f22bd2-22aa-4d33-bed5-12251fc0292e,Keen Eye,51,This Pokemon's accuracy can't be lowered by others; ignores their evasiveness stat.,false,false
273b46c8-ce89-470b-ae38-2c64d49a19d4,Pastel Veil,257,"This Pokemon and its allies cannot be poisoned. On switch-in, cures poisoned allies.",false,false
282d909d-06f8-4663-ab79-fac57c31c604,Mirror Armor,240,"If this Pokemon's stat stages would be lowered, the attacker's are lowered instead.",false,false
283c1ce5-b90e-41e4-b60f-a0381a02d3b4,Rain Dish,44,"If Rain Dance is active, this Pokemon heals 1/16 of its max HP each turn.",false,false
285e3c10-bc86-4528-bbca-6e6a0d2544cf,Heatproof,85,Fire damage against this Pokemon is dealt with 1/2 offensive stat; 1/2 burn damage.,false,false
29a45249-0d3b-4af8-bfaf-fbaf43a85f0b,Water Compaction,195,This Pokemon's Defense is raised 2 stages after it is damaged by a Water-type move.,false,false
2a0afb72-ca19-4c2a-82a8-3b357f5b1da9,Stench,1,This Pokemon's attacks without a chance to flinch gain a 10% chance to flinch.,false,false
2a2e2cf6-0284-40ae-a10c-dc320569432d,Soul-Heart,220,This Pokemon's Special Attack is raised by 1 stage when another Pokemon faints.,false,false
2b023f7e-9530-409b-8bc5-aa4cb7272a67,Magma Armor,40,This Pokemon cannot be frozen. Gaining this Ability while frozen cures it.,false,false
2c783511-7431-483a-a5f4-ea2cfd0290d5,Moody,141,Boosts a random stat (except accuracy/evasion) +2 and another stat -1 every turn.,false,false
2d50a1cc-726a-4150-ad52-583cbcedf623,Cheek Pouch,167,"If this Pokemon eats a Berry, it restores 1/3 of its max HP after the Berry's effect.",false,false
2e71fa12-5ef0-44ed-b8a6-36368ba02ead,Natural Cure,30,This Pokemon has its non-volatile status condition cured when it switches out.,false,false
3076409c-a264-4a5b-844a-502559f4cd4b,Intimidate,22,"On switch-in, this Pokemon lowers the Attack of opponents by 1 stage.",false,false
317280df-b162-47de-8ff3-d30020d48431,Ball Fetch,237,No competitive use.,false,false
