id,name,dex_num,type,category,target,power,accuracy,priority,pp,short_description,long_description,has_secondary_effect,is_multi_hit,multi_hit_high,multi_hit_low,ignores_substitute,ignores_protect,bounceable,bite,bullet,contact,dance,heal,powder,pulse,punch,slice,sound,wind,boosted_by_sheer_force,ohko,is_z_move,is_max_move,is_legal
009e3e7d-40c7-4f46-84fb-ebb4f24add91,Bitter Blade,891,Fire,Physical,normal,90,100,0,10,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",false,false,,,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true
00d37cc1-4b60-485a-ac2e-1e02ae2c1b99,Frost Breath,524,Ice,Special,normal,60,90,0,10,Always results in a critical hit.,This move is always a critical hit unless the target is under the effect of Lucky Chant or has the Battle Armor or Shell Armor Abilities.,false,false,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
00e705cf-8f0d-40e2-9aa9-71d85f4949a0,Plasma Fists,721,Electric,Physical,normal,100,100,0,15,Normal moves become Electric type this turn.,"If this move is successful, causes Normal-type moves to become Electric type this turn.",false,false,,,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false
011f9347-11d8-443f-bbfd-2f2165f35e05,Terrain Pulse,805,Normal,Special,normal,50,100,0,10,"User on terrain: power doubles, type varies.","Power doubles if the user is grounded and a terrain is active, and this move's type changes to match. Electric type during Electric Terrain, Grass type during Grassy Terrain, Fairy type during Misty Terrain, and Psychic type during Psychic Terrain.",false,false,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true
0142a702-e2c9-4bcb-8ae4-65e7e9e35818,Skull Bash,130,Normal,Physical,normal,130,100,0,10,Raises user's Defense by 1 on turn 1. Hits turn 2.,"This attack charges on the first turn and executes on the second. Raises the user's Defense by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn.",false,false,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
0152e58c-7bef-41f3-b890-dd34829f6880,Ice Spinner,861,Ice,Physical,normal,80,100,0,15,Ends the effects of terrain.,"Ends the effects of Electric Terrain, Grassy Terrain, Misty Terrain, and Psychic Terrain.",false,false,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
0159f5ff-3c9b-419d-a403-3f2f86286eb2,Horn Leech,532,Grass,Physical,normal,75,100,0,10,User recovers 50% of the damage dealt.,"The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.",false,false,,,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true
01eca9b2-5554-451a-baa5-14e169ed3ca5,Fell Stinger,565,Bug,Physical,normal,50,100,0,25,Raises user's Attack by 3 if this KOes the target.,Raises the user's Attack by 3 stages if this move knocks out the target.,false,false,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true
025e6500-95e3-4be1-a77b-4581796b2a4e,Teleport,100,Psychic,Status,self,0,-1,-6,20,User switches out.,"If this move is successful and the user has not fainted, the user switches out even if it is trapped and is replaced immediately by a selected party member. The user does not switch out if there are no unfainted party members.",false,false,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
026b2a54-5bb8-42c0-a7be-a9c6644e643d,Swords Dance,14,Normal,Status,self,0,-1,0,20,Raises the user's Attack by 2.,Raises the user's Attack by 2 stages.,false,false,,,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true
028eae4d-8a29-433a-b822-53a05bfbe9e6,Techno Blast,546,Normal,Special,normal,120,100,0,5,Type varies based on the held Drive.,This move's type depends on the user's held Drive.,false,false,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
0299e38a-c920-412d-9a2a-43893fa205af,Psyshock,473,Psychic,Special,normal,80,100,0,10,"Damages target based on Defense, not Sp. Def.",Deals damage to the target based on its Defense instead of Special Defense.,false,false,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
029ce5a7-1720-40d8-9997-7e3c9f27956a,Hypnosis,95,Psychic,Status,normal,0,60,0,20,Causes the target to fall asleep.,Causes the target to fall asleep.,false,false,,,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
038acd30-563a-4251-ba57-06f4ee258531,Blaze Kick,299,Fire,Physical,normal,85,90,0,10,High critical hit ratio. 10% chance to burn.,Has a 10% chance to burn the target and a higher chance for a critical hit.,true,false,,,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true
